,お遍路の番号,名前,名前（仮名）,正式名称,宗派,本尊,住所,緯度(北緯),経度(東経),電話番号,徒歩距離[km],車での距離[km](使用道路),駐車可能台数,駐車場,駐車場の位置,車でのアクセス,JRでのアクセス,ホテル,トイレ,徒歩距離(m),経路情報（エンコード）
0,1,霊山寺,りょうぜんじ,竺和山霊山寺,高野山真言宗,釈迦如来,徳島県大麻町板東126,34.15944444,134.503,0886-89-1111,1.0,約1km (県道12号),100,境内,高松自動車道板野ICから県道12号経由で約3km,JR高徳線板東駅から徒歩15分JR徳島駅から徳島バスで45分、霊山寺前下車すぐ,休止中,和:洋,,1400,mwnoEuc}sXJ?z@Z\D?h@@|@TtBPx@rAtD\pALh@X|B\hDHtABf@Jf@Bh@HTBTRtBl@hFRdA\lAHPx@vCl@xBx@vB^l@bAxAx@v@GHC|@?\Cn@e@Ny@TOx@O?E@In@
1,2,極楽寺,ごくらくじ,日照山極楽寺,高野山真言宗,阿弥陀如来,徳島県鳴門市大麻町字檜ダンの上12,34.15602778,134.49025,0886-89-1112,2.7,約3.8km (県道12号),70,境内に隣接,高松自動車道板野ICから県道12号経由で約2km ,JR高徳線阿波川端駅から徒歩20分,一泊二食\6000(要予約),和:洋,,2600,{bnoEmszsXLq@H?F?@CLw@~Aa@By@BsAFITPZVn@^dAf@~@\jExANF?DPn@Xl@rAxCN`@Fj@@t@FnABNLd@z@xB\hAR\^Tf@T^\r@|@lB~C~@hBx@~ARv@Ph@r@vANj@Bh@@jATrC?dAOrAG\?^F\Lb@h@bAHZB`@`AjBnA`CTzAJ~@?f@Cr@OlBA`APfC@f@HPFHMLQV_@v@Sr@If@Et@ClA@d@Fr@f@hDRnANfBL`CHh@BLHNl@VPL|AhAHARf@FTDr@Dj@Hh@h@vAj@lAQ@oAMG@ABElAAfAALSAm@CSCc@SOI
2,3,金泉寺,こんせんじ,亀光山金泉寺,高野山真言宗,釈迦如来,徳島県板野郡板野町大寺66,34.14727778,134.4682778,0886-72-1087,5.0,約4km (県道1号),10,境内に隣接,高松自動車道板野ICから県道12号経由で約1.5km ,JR高徳線板野駅から、徒歩15分,休止中,和:洋,,5000,mlloEcfvsXl@ZTDdADB|AFtDDXJLROZS`Aa@R_@X@x@@FCFCDBDBD?DA?F@B\Rn@XjAlAPN^R^Tx@t@Vj@RvAVvDLxAAtAM`AYlA?J@LBxCG`BAlAD|ADr@XpBv@vBt@|Ax@lAp@fAb@x@Rd@TjA@fAGjDCf@Kn@a@fBDzDHdDLp@^fBBh@Dz@HvAHf@dAfGp@pD\lBHz@?^UrAKh@Gp@@j@LtEDZFRHXDLf@j@iAp@a@Ca@BWFGDGj@W|DGt@Qx@WlAQjAIfAa@dBIx@GtAm@`Ec@hEQ`BGtAY|AMVbA|ApAnBVf@@J[FWNk@`@gA^MFGRSrFCj@EHe@^KXFfBDp@DRFLHLD\Cr@CbB?RU?[A_@E[I[Kq@A[EeAOg@Fw@N_@Pg@F[DIFEN?b@Ch@Kh@}C[a@AU@KJ{AImDQgAIyAOgAIkCLWCGMo@Yc@QIMCS@a@ASYC_@S[KCA
3,4,大日寺,だいにちじ,黒厳山大日寺,高野山真言宗,大日如来,徳島県板野郡板野町黒谷5,34.1515,134.4311667,0886-72-1225,2.0,約2km (県道12号),50,山門すぐ手前,高松自動車道板野ICから県道12号経由で約5km ,JR高徳線板野駅で下車、徳島バス鍛冶屋原行きに乗り換え羅漢で下車、徒歩30分,無し,和:洋,,2000,wemoEobosXZJZP`@F@JAh@@PFL`@Pn@TJJ@FJ@V@^CdAGh@Ab@DpD\|H`@zAJfARpF~@ZB`@Cn@Ml@Mz@UzBi@l@UVWJQ\iA@WT_AP]^c@b@UvBo@r@WP@dA_@bBo@rFkBn@Qf@GdABtCj@tAV
4,5,地蔵寺,じぞうじ,無尽山地蔵寺,真言宗御室派,勝軍地蔵菩薩,徳島県板野郡板野町羅漢字林東５,34.13716667,134.4323611,0886-72-4111,5.0,約5km (県道12号、139号),30,境内に隣接,高松自動車道板野ICから県道12号経由で約5km ,JR高徳線板野駅で下車、徳島バス鍛冶屋原行きに乗り換え羅漢で下車、徒歩5分,無し,和:洋（温水あり,,5300,}kjoEekosX~Cp@`AJh@BlBCz@?Z@v@C`@A\CJV^lAXhBFCJj@d@~CV~ADAHf@jAvHfEjYNhADx@AhCCpIGhM?|@H|BTlBRdAXdAv@jBd@x@l@|@vCdEZb@|I~LzF`I|@vANXRx@Lr@n@rERbANd@bA`CvAfDd@|@X^bBlBbDjDXf@FZFlAt@bOVzEj@xK^dCVbAf@rAj@jA^h@jAtAp@h@v@h@z@`@x@XxAXv@FHjADz@?VBx@?^Fp@PfD^tGZjBn@|CjACb@BLABNDLJN@P@fA
5,6,安楽寺,あんらくじ,温泉山安楽寺,高野山真言宗,薬師如来,徳島県板野郡上板町引野寺の西北８,34.11811111,134.3883611,0886-94-2046,1.0,約1.5km (県道139号),100,境内まで徒歩1分,徳島自動車道土成ICから国道318号、県道139号経由で約3.5km ,JR高徳線板野駅で下車、徳島バス鍛冶屋原行きに乗り換え東原で下車、徒歩7分,一泊二食\5800(要予約),和:洋（バリアフリー対応),,1200,_ufoE{wfsXAoAEOKOEWW@i@Cs@@VlAd@~BDNB`@JhBT~EFVBh@FjBDjC?p@An@_AfMk@fI]|EOjBICI?UBm@N[XOZOXMHQBU?g@CAD
6,7,十楽寺,じゅうらくじ,光明山十楽寺,高野山真言宗,阿弥陀如来,徳島県阿波市高尾法教田５８,34.12044444,134.3783056,0886-95-2150,4.0,約4km (県道139号),60,境内まで徒歩5分,徳島自動車道土成ICから国道318号、県道139号経由で約2.5km ,JR高徳線板野駅で下車、タクシーで20分,一泊二食\7000(要予約),洋,,4200,{agoEsvdsXm@|EKz@ItACvCApFB\@DOJ_@TKJ]\Q\Oh@Kt@A`@@jC?dCElDEfCChAWlEg@jGkAjMKnAIzA@l@JfANn@Xt@vBjEPh@T`ABx@Eh@Uz@a@p@_AhAu@jAQ^WnAGtADbAZxC\nCFbAGr@M\OXe@r@o@lAk@nA[|@Sh@[pAe@rBQjAC~@DdAN|@h@zAvAhDVt@NhAd@rF`AtEf@jCL`ADz@NtETnAN^vAhCpB`ElBpE_@TSRMTKXKv@SzBCt@?VC@OB]DyAR]HQHOFYRSJE^GDUBY?e@G}B_@
7,8,熊谷寺,くまだにじ,普明山熊谷寺,高野山真言宗,千手観世音,徳島県阿波市土成前田１８５,34.12288889,134.3400556,0886-95-2065,2.5,約2.5km ,50,境内まで徒歩3分,徳島自動車道土成ICから国道318号、県道139号経由で約2km,JR徳島本線鴨島駅で下車、タクシーで20分,無し,和:洋,,2400,gqgoE}g}rXbDf@X?TCFED_@RKXSNGPI\IxASl@ILE@FN?p@Eb@CtC_@LCDFFJTXh@\f@NpAX~Dj@t@P\Jf@Xf@`@TTf@|@tAfBt@pAn@jAd@hAv@hBR`@LFj@~@DEvAQPAL@b@@HDj@BHK@Gr@VRDXHf@Dj@?tAEXEp@AlAEn@Fv@TVLTNZXXb@f@|@Pl@HGDLFRnBfF`BM|AMN?DFFPFNB@hDS|Im@l@ER@d@B^A
8,9,法輪寺,ほうりんじ,正覚山法輪寺,高野山真言宗,釈迦如来（涅槃像）,徳島県阿波市土成田中９８－２,34.10422222,134.3334167,0886-95-2080,4.0,約4.5km (県道139号),30,境内まで徒歩1分,徳島自動車道土成ICから国道318号、県道12号経由で約2.5km ,JR徳島本線鴨島駅で下車、タクシー20分,無し,和,,3800,q~coEcc|rXbBIHb@Fj@PZ^j@DJJfCJzBrDURpEXrAHn@T~CHtAP`Bx@vGThAd@rAFVH@R@X?@ND`@D`B@t@`@jGCZKVw@rAQf@C|@AXWpAEZWjDa@tBOdAKlAG|BI|@Qz@ADRPLJ~@t@LLHPFR@PBx@EXIzC?h@VjARhAF~BCZ@hAFvBDd@RzA@b@Eb@OtBTpCBZE@FZFr@Db@PvBXzAJr@HpABfBShEMhCg@fCmA~FQz@a@fCG`AC`BAp@IjBMfBeAMIIEe@ISGCGBc@z@KDa@@{@F}@TUNEAWPe@\MJSXIBECCIF_A?c@IMg@Gi@?QCIE[i@_@q@MI_@Ca@?OEk@i@[Yc@UaAQ_@MoA[M@CD@Db@j@BLEFG@UOs@c@g@F_@DKAEEAK\wAAICa@AGGEAM
9,10,切幡寺,きりはたじ,得度山切幡寺,高野山真言宗,千手観世音,徳島県阿波市観音１２９,34.10752778,134.3040556,0883-36-3010,10.0,約12km  (国道318号),30,境内まで徒歩10分,徳島自動車道土成ICから国道318号、県道139号経由で約6km ,JR徳島本線鴨島駅で下車、タクシー30分,無し,和:洋,,9300,ordoEkgvrX@LFDDh@@H]vA@JDDJ@^Ef@Gr@b@TNFADGCMc@k@AEBELAnAZ^L`APb@TZXj@h@ND`@?^BLH^p@Zh@HDPBh@?f@FHL?b@G~@BHDBHCRYr@i@VQD@TO|@Uz@G`@AJEb@{@FCFBHRDd@HHdALLgBHkB@q@BaBFaA`@gCNy@BIF@THFAL_@`@iBFUV]h@q@JAp@FPEFCNWLUf@C^CLEPINGFQJS^eAPa@\e@f@cAXs@f@_@f@QNOJ[NQr@Wf@URIAUEa@I[Ca@G_@[m@G_@C[?]FSHQ?I[eAAUCuAPu@LkANm@NKOeB?SRoADu@NATKbAk@l@Yv@MfDk@CWNEPIbAmAh@k@JIp@SbA_@~@e@MEIGGUOmACa@j@I|BOx@E@Y?QCcA@kFGsAAo@Di@EaAGi@WiDKgBE[?y@GeAAMZU?K?c@?{ADw@J]HOHIJe@hAiDrA_FrCoKhDkMl@yBFSOGWMCQLe@^sAn@eChBuFTg@T]Z]\UFIEE}@oBEOLUZk@Zy@Hg@Bi@Ew@Gu@m@sDe@iJc@}I[yEMwBGmBKmBK_A[mAIYTMhBq@|OaGjPeGfDkAbC}@hDoATEVMp@[d@ONOtAq@PK~@i@rBcAjEsB`CkAzBy@nBc@nAOjBGnBDvALvBZ`El@~Dh@nBP~@D@HJJjBn@pAf@pB~@fAf@|@FpDNTB?D?n@?`@HBl@D|ANdAL|@Db@?l@E~AMrACvAAjAQfFy@vDk@|C[z@I?K`@GjAObC]~B_@?WT?`@?vAIj@E?ERAdAAx@CTGx@GvASbAKXIf@Sh@Gf@HLBD]H{@FqALgAPCf@INALBPHRDTBJF\z@N`@\`@b@\VHPAt@KFCDELJNVZr@Ld@JdBPZ\Nj@AV@d@PDFAHHJv@n@
10,11,藤井寺,ふじいでら,金剛山藤井寺,臨済宗妙心寺派,薬師如来,徳島県吉野川市鴨島町飯尾１５２５,34.0515,134.3485278,0883-24-2384,12.5,約48km  (国道438号、県道43号),30,境内まで徒歩1分,徳島自動車道土成ICから国道318号、192号、県道242号経由で約8km ,JR徳島本線鴨島駅で下車、徒歩40分,無し,和:洋,,12900,_xynEu`_sX}A{AaCk@{@mEyB}BiDaF_@_BYcDCyK@uHEmG{@s@AgAVeCEkAb@At@?Eh@NFvAs@l@_AzA]lAZlC_@rCHXi@tAA~DSfBc@gCcCJm@dAHnD^lBIdBU|A?b@}@g@aB~@}BVKA~A~AdD[tBpAxBpBj@[|BuAvAc@|Af@_@pBuAnAyBlBmAnACE{Aw@wAp@b@|DbDtCjAzCcBbDNnArD\l@b@[^eDdAgCHtAk@zHg@r@gBWoCeAmCpAw@|@m@c@uBDRt@xAA~@~An@fA\UbAmClAX_AH[dCo@xAgCPcA|BZ^pAgBbCJh@P\c@l@gAhB@jBzBdAA~C|B`CvA~Bk@|Dm@nE[pBu@zA}Ad@Ud@bArAa@b@qBtAJ~A|CUN{AoBe@C]xAwA|AcAQeATqA~Ad@dAvAtByA~@gB`BsAvARrA|EqBdGCtBMxB{@jFbAdGt@bCvAbDzCvBVvBdAhAj@x@mBpBu@bAb@n@a@LiAlAu@bD`ArAoBvAx@bBB`CcApAsChCrAv@hB_A|A{@b@Oj@rE~AjAcEfBzBlCWhEwAtDeBdCjBjKf@v@a@~B\zBuB|AJhAc@xCc@`Bn@~Cm@t@u@|BDhBNNs@Zg@j@NtAuAxA?bBcAhCIJpB?tApC`Fj@fD~@NbAUx@m@l@Ok@}AaBsDfDlCfFjC`Bz@D}@[gCjAuDt@cALHJ|CLi@t@mFVoAYuAPWlAzFv@|CZ`CTQ]sG^}DgA}CZsC_@gAVw@zAlAnCSbA~@t@Bb@|DxCJfAr@|AAdBId@H`B`Ar@pAbA@v@XNlBtA~BtBPzA`D[xA\b@v@dArA~DPtCzBhEtAv@w@fF~BjA`B`D^lCm@zEl@fAtA`Bd@bB~B^fC?`CfAxC|AoBxJu@p@z@rCgAh@uA~Bt@d@e@`@}Bj@{Bs@u@\YdB}@pAnAnB_@dDeClCl@\dAxAfCRhEpC}@`@yCbCGvCR~Cm@rBt@jBZhA[tA{B{@m@@nCvBdAoArAgA[kClAoCLY`@\lBdDLx@aAy@]lCr@|Bu@d@Y|Ao@fA`ATH|@D`B\Gf@sBr@AO~Fj@pFP|@cAjBkDtBoCz@s@pAT@nBwA|CEbC[jGxAlA@ScCvCkH\oAz@MpCpAhAtAbBrAZxBeBQcAF}@lAp@xGPxDc@hAs@hHEjGGtEBtAk@\oDyCu@kCoAG@lEr@`D[nGn@~EuCpAeFbFvBg@vDgCdB\z@g@v@}CvAvBzApFNbDPz@_@^a@kCy@mBkAcB_CnCcB\uBz@|EEtBw@[lE\jAIx@_AwBSE
11,12,焼山寺,しょうさんじ,摩盧山焼山寺,高野山真言宗,虚空蔵菩薩,徳島県名西郡神山町下分字地中３１８,33.98497222,134.3106389,0886-77-0112,21.5,約35km  (国道438号、県道21号),50,境内まで徒歩7分,徳島自動車道徳島ICから国道438号経由で約42km ,JR徳島駅から徳島バス神山線1時間10分、奇井中下車、神山町営バスに乗り換え15分、焼山寺下車、徒歩1時間30分,一泊二食\6000(3～5月、9～11月のみ要予約),和,,20800,gulnEuowrXd@Vn@dA@v@GuBM}A`@gCUWiAd@u@ZyAEaBAt@IhAk@|@?nAeAx@{ATCl@dAh@h@\x@RjD`@@x@Wx@oAf@}@VOFq@Je@~ARPk@?_BZ_AK_Dd@_Cd@a@fDRvBc@h@kCt@yFVa@rBxAt@v@fB\pAU`EqDbDwBtF{FtA_@t@s@XcBIaCfAyC`AgAhAkB~Ay@n@sAB}ECQQHg@vAiAn@k@HCMf@e@z@gAi@{BIqAYTiAnAa@nAU~Ak@ZqBOwCQs@r@oArCIOTm@PaA?y@nA}Bz@a@~@RbAaBR}DUyAL}@ZaAc@iAy@[UcA]iAyAeAk@oADaAj@]^W@q@N}@Tu@w@q@}@iAwBoDPmCpBnAxAq@|@u@Rw@l@@tARn@`@p@CVQ`A^bAIZ_@Ks@Pq@DsC@sFjAe@n@Iz@jAd@Jh@MPn@@|@ZFfC{@d@jA^Xd@|@`AHzAf@d@VSoAWk@NKlAt@[aBcBm@Ae@h@_Bt@mAGg@e@g@cAGMe@z@qBGk@Oc@FyBXi@e@qD[a@o@K[SDk@NaCQsDUkCPUrG{Af@WCOa@_Cu@aC}@iDYmDx@qX|@cRt@wB`AqA`ByAp@oAtAaFWoG_BoE{A_HcAiHm@m@oCm@_D{BqEe@cAi@u@iAqBcBeCeBeB_CU_BGoF}CkIgCoK{A{D{EcIsAgAcCs@{AoAwCuIaEkMeCqHy@mAwCwAeFoA_CDuAE}@m@gAwB[wCOeBuAcC}BcIiCiIYgBUyGGcEs@yB}BkCq@qCA_DHsM{@gIMaAyBOoCYiGaDcDCkBUo@w@e@gBk@w@aBq@mCgBiAo@yBk@}AgBoC{FcAkAiDg@gCCuKrFcAFwEg@_PRmGZiEp@yJrC_BCcCeB}@c@sAt@uAlBcATw@K{AcAy@BqAhAeB\oAj@s@rCyArAeBj@yGk@gAi@iAyB{@gBcAy@qB[oCuAuCHoBMqJmFcHmCwBcByBeAcGyAmAF}B`@aCMa@SsBe@aDaCsJoDwEeCeAYw@JcDdAyBnAs@?Yo@b@oIjB{DtCqAdA_CjBkDb@wEg@kEkBkFgB{DQmELaGT{Cs@cDm@_AcAi@}A_CoCkBoEiEyAgCuGuMkA{E}@qBa@WgDm@oC_@yA|@kAXeHZ_Cr@aAUqByAyCyBeAoAQwAr@qDVcDS_CXyDJiCi@yB_@wCn@yF~@iJxDcIp@{At@gFzA}JhAkHl@{B~FwDdAaAn@uAXcAd@iADoBf@oBZcArAuAbBgBf@gAhBuH?eGbB}VP_J}@aFq@gDQ}HYcF?uB_@sBYkB
12,13,大日寺,だいにちじ,大栗山大日寺,真言宗大覚寺派,十一面観世音,徳島県徳島市一宮町西丁３７６,34.03822222,134.4628056,0886-44-0069,2.5,約3km   (県道21号),30,境内まで徒歩2分,徳島自動車道藍住ICから県道1号、国道192号、県道21号経由で約13km ,JR徳島駅から徳島バス神山線で30分、一宮札所前下車すぐ,一泊二食\6000(要予約),和:洋,,2300,mbwnEigusXI]Uq@GO?Ka@WY_@Oi@_@uBm@sCm@gCYoBOgA_@{@[eAq@}Cg@qBWeBOaAKUOKa@Cs@AIq@]aAg@wAIi@IoA?Wc@US]SeASmBEQEEGOGg@SqAaARuBb@{AXWJGN?Z@F?BUk@KFAEaAwBw@iBUq@}Az@aDrAUGa@@]WOEEWC[Bo@JgA?SGOSU]m@KMMKgAUc@KI@IDOVIPKHOAWIq@_@u@k@Ui@Ko@AUW?OCIUOmACEQA_ANkALQAMISUSMaAOQEAVKlB\`Bt@f@
13,14,常楽寺,じょうらくじ,盛寿山常楽寺,高野山真言宗,弥勒菩薩,徳島県徳島市国府町延命６０６,34.05033333,134.4756667,0886-42-0471,1.0,約1km   (国道192号),10,境内まで徒歩2分,徳島自動車道藍住ICから県道1号、国道192号経由で約10km ,JR徳島駅から徳島バス神山線延命経由奇井中行きで25分、常楽寺前下車、徒歩5分,無し,和,,800,ymynEkwwsXo@a@GKWkACOGCJkB@WIKC@KJIHGRORg@HaANk@Vu@h@YNKLUHYVq@R_C`@OG[]c@K_@?W@MLYfA]x@Ij@@Z@NKVERIhCEFODAGc@Fi@Hc@PcAj@IN?B
14,15,国分寺,こくぶんじ,法養山国分寺,曹洞宗,薬師如来,徳島県徳島市国府町矢野７１８－１,34.05577778,134.4733333,0886-42-0525,2.0,約2km   (国道192号、県道123号),15,境内横,徳島自動車道藍住ICから県道1号、国道192号経由で約9km ,JR徳島駅から徳島バス延命経由奇井中行きで20分、国分寺前下車、徒歩10分,無し,和,,1800,_oznE_iwsXKZILQHI@C@EKSGESI]_@i@EICUE}@CGM?[@]JgAZaAJmAP}@RGm@MoBG@@OIs@O{AO_BCSGBUBcBV_ALa@?iBTeAFWHe@DY?mAJ}CXm@Dg@CYBi@FSHe@NYDC?AGQDS@oAJqAJuB^SFe@@O@GJqBTWBe@Pm@Ju@FgBT[@e@DqAJe@@G@?CK@_@B
15,16,観音寺,かんのんじ,光耀山観音寺,高野山真言宗,千手観世音,徳島県徳島市国府町字観音寺４９,34.06852778,134.4742222,0886-42-2375,3.0,約3.5km (県道号、29号),6,境内横,徳島自動車道藍住ICから県道1号、国道192号経由で約7km ,JR徳島駅から徳島バス鴨島線で20分、観音寺北下車、徒歩5分,無し,和,,2800,a_}nEamwsXcAHo@?]FWLkATa@uAMu@CGICMMQKUFk@?qA?OCI{Ak@kJ[oFOoCU{DKAk@Ca@U_AYD]E?S@y@JMBSNWN_@HkADW?GKEu@CqACqACWUDu@JWAoAWg@GYCSA?IB_@?GCAw@Q_@Ga@E]Sa@CDu@@yACIYSSAmBu@_Ac@SQQMCBIIa@SmAMCBMAc@Cq@GaACeBPK?EGKYUk@CEBOEy@Ia@Gk@QEa@i@a@e@]_@WIo@Pg@Ps@Tw@NmAHi@LIDm@He@HAICc@UcBGYCg@Ee@IBg@LQB{@HWB[?AGMEUCoA??JA?UDWCKAMMO?Q?K?EC}@HSDGFBT
